0.05340;1.494;-4.513
0.05360;1.509;-4.508
0.05380;1.524;-4.504
0.05400;1.539;-4.499
0.05420;1.555;-4.495
0.05440;1.570;-4.491
0.05460;1.585;-4.487
0.05480;1.600;-4.482
0.05500;1.615;-4.478
0.05520;1.630;-4.474
0.05540;1.645;-4.470
0.05560;1.660;-4.466
0.05580;1.675;-4.462
0.05600;1.690;-4.458
0.05620;1.705;-4.454
0.05640;1.720;-4.451
0.05660;1.734;-4.447
0.05680;1.749;-4.443
0.05700;1.764;-4.440
0.05720;1.779;-4.436
0.05740;1.793;-4.433
0.05760;1.808;-4.429
0.05780;1.823;-4.426
0.05800;1.837;-4.422
0.05820;1.852;-4.419
0.05840;1.867;-4.416
0.05860;1.881;-4.413
0.05880;1.896;-4.409
0.05900;1.910;-4.406
0.05920;1.924;-4.403
0.05940;1.938;-4.400
0.05960;1.953;-4.397
0.05980;1.967;-4.394
0.06000;1.981;-4.391
0.06020;1.995;-4.388
0.06040;2.009;-4.385
0.06060;2.023;-4.382
0.06080;2.037;-4.379
0.06100;2.051;-4.376
0.06120;2.065;-4.373
0.06140;2.079;-4.371
0.06160;2.092;-4.368
0.06180;2.106;-4.365
0.06200;2.120;-4.362
0.06220;2.133;-4.360
0.06240;2.147;-4.357
0.06260;2.161;-4.354
0.06280;2.173;-4.351
0.06300;2.187;-4.349
0.06320;2.201;-4.346
0.06340;2.213;-4.344
0.06360;2.227;-4.341
0.06380;2.240;-4.338
0.06400;2.253;-4.336
0.06420;2.266;-4.333
0.06440;2.278;-4.331
0.06460;2.291;-4.328
0.06480;2.304;-4.326
0.06500;2.317;-4.323
0.06520;2.330;-4.321
0.06540;2.342;-4.318
0.06560;2.355;-4.316
0.06580;2.367;-4.313
0.06600;2.379;-4.311
0.06620;2.392;-4.308
0.06640;2.404;-4.306
0.06660;2.417;-4.303
0.06680;2.428;-4.301
0.06700;2.440;-4.299
0.06720;2.453;-4.296
0.06740;2.464;-4.294
0.06760;2.476;-4.292
0.06780;2.488;-4.289
0.06800;2.499;-4.287
0.06820;2.511;-4.284
0.06840;2.522;-4.282
0.06860;2.534;-4.280
0.06880;2.545;-4.277
0.06900;2.557;-4.275
0.06920;2.568;-4.273
0.06940;2.579;-4.271
0.06960;2.590;-4.268
0.06980;2.601;-4.266
0.07000;2.612;-4.264
0.07020;2.623;-4.261
0.07040;2.633;-4.259
0.07060;2.644;-4.257
0.07080;2.655;-4.255
0.07100;2.665;-4.252
0.07120;2.676;-4.250
0.07140;2.686;-4.248
0.07160;2.696;-4.246
0.07180;2.707;-4.244
0.07200;2.717;-4.241
0.07220;2.727;-4.239
0.07240;2.737;-4.237
0.07260;2.747;-4.235
0.07280;2.757;-4.233
0.07300;2.767;-4.230
0.07320;2.776;-4.228
0.07340;2.786;-4.226
0.07360;2.795;-4.224
0.07380;2.805;-4.222
0.07400;2.814;-4.220
0.07420;2.823;-4.218
0.07440;2.833;-4.216
0.07460;2.841;-4.214
0.07480;2.851;-4.211
0.07500;2.860;-4.209
0.07520;2.869;-4.207
0.07540;2.877;-4.205
0.07560;2.886;-4.203
0.07580;2.895;-4.201
0.07600;2.903;-4.199
0.07620;2.912;-4.197
0.07640;2.920;-4.195
0.07660;2.928;-4.193
0.07680;2.936;-4.191
0.07700;2.944;-4.189
0.07720;2.953;-4.188
0.07740;2.961;-4.186
0.07760;2.969;-4.184
0.07780;2.976;-4.182
0.07800;2.984;-4.180
0.07820;2.992;-4.178
0.07840;2.999;-4.176
0.07860;3.007;-4.174
0.07880;3.014;-4.173
0.07900;3.022;-4.171
0.07920;3.028;-4.169
0.07940;3.036;-4.167
0.07960;3.043;-4.165
0.07980;3.050;-4.164
0.08000;3.057;-4.162
0.08020;3.064;-4.160
0.08040;3.070;-4.158
0.08060;3.077;-4.157
0.08080;3.084;-4.155
0.08100;3.090;-4.153
0.08120;3.097;-4.151
0.08140;3.103;-4.150
0.08160;3.110;-4.148
0.08180;3.116;-4.147
0.08200;3.122;-4.145
0.08220;3.128;-4.144
0.08240;3.134;-4.142
0.08260;3.140;-4.140
0.08280;3.146;-4.139
0.08300;3.151;-4.137
0.08320;3.157;-4.136
0.08340;3.163;-4.134
0.08360;3.168;-4.133
0.08380;3.173;-4.131
0.08400;3.179;-4.130
0.08420;3.184;-4.128
0.08440;3.190;-4.127
0.08460;3.194;-4.126
0.08480;3.200;-4.124
0.08500;3.205;-4.123
0.08520;3.210;-4.122
0.08540;3.215;-4.120
0.08560;3.220;-4.119
0.08580;3.224;-4.118
0.08600;3.229;-4.116
0.08620;3.233;-4.115
0.08640;3.238;-4.114
0.08660;3.242;-4.112
0.08680;3.247;-4.111
0.08700;3.251;-4.110
0.08720;3.255;-4.109
0.08740;3.260;-4.107
0.08760;3.264;-4.106
0.08780;3.267;-4.105
0.08800;3.271;-4.104
0.08820;3.275;-4.103
0.08840;3.279;-4.102
0.08860;3.283;-4.101
0.08880;3.286;-4.100
0.08900;3.290;-4.099
0.08920;3.293;-4.097
0.08940;3.297;-4.096
0.08960;3.300;-4.095
0.08980;3.304;-4.094
0.09000;3.307;-4.093
0.09020;3.310;-4.092
0.09040;3.313;-4.091
0.09060;3.316;-4.090
0.09080;3.319;-4.089
0.09100;3.322;-4.088
0.09120;3.325;-4.087
0.09140;3.328;-4.086
0.09160;3.331;-4.085
0.09180;3.333;-4.085
0.09200;3.336;-4.084
0.09220;3.339;-4.083
0.09240;3.341;-4.082
0.09260;3.344;-4.081
0.09300;3.348;-4.079
0.09340;3.353;-4.078
0.09380;3.357;-4.076
0.09420;3.361;-4.075
0.09460;3.365;-4.073
